Hang khai thac,Container,Kich co,Kich co ISO,Ghi chu,Ghi chu noi bo,Tinh trang vo,Nam san xuat,So ngay luu bai,Lich trinh tau,Ten tau,Chuyen nhap,Chuyen xuat,Huong,Trang thai,F/E,Phuong an,Vi tri tren bai,Cang xep,Cang do,Cang dich,Ngay nhap bai,Ngay ra bai,Loai Hang,Hang Hoa,Trong Luong,Nhom Trong Luong,VGM,Huy,Nhiet do,CLASS,UNNO,Chu hang,So Booking,So Van Don,So niem chi,So niem chi 1,So niem chi 2,Thanh Ly Hai Quan,So to khai,Hang noi/ ngoai,Cang chuyen,Cang giao nhan,So lenh,Thong gio,DVT thong gio
VLC,BISU2841251,20DC,22G0,"DA VS,BISU,Mop xung quanh+da,Cong thanh,Cong tay,Rach ron, Ho nep san,Cu ri set,troc van san",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-04-1,VNCMT,VNTTS,VNTTS,9/2/2024 6:18,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,VNLU3090839,20DC,22G0,"DA VS,Mop xung quanh+da,Cong tay,Rach ron,Cu ri set,troc van san",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,WS,VNCMT,VNTTS,VNTTS,9/2/2024 6:19,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2841225,20DC,22G0,"DA VS,BISU,Mop xung quanh+da,Cong thanh,Cong tay,Rach ron, Ho nep san,Cu ri set,troc van san",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-04-2,VNCMT,VNTTS,VNTTS,9/2/2024 6:20,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2841924,20DC,22G0,"DA VS,BISU,Mop xung quanh+da,Cong thanh,Cong tay,Rach ron, Ho nep san,Cu ri set,troc van san",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-04-3,VNCMT,VNTTS,VNTTS,9/2/2024 6:22,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2832141,20DC,22G0,"mop xung quanh va da, Muc set, mop xung quanh, mop da",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-04-4,VNCMT,VNTTS,VNTTS,9/2/2024 6:27,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2838812,20DC,22G0,"DA VS,BISUMuc set, mop xung quanh, mop da",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-04-5,VNCMT,VNTTS,VNTTS,9/2/2024 6:29,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2825820,20DC,22G0,"Muc set, mop xung quanh, mop da",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-03-1,VNCMT,VNTTS,VNTTS,9/2/2024 6:35,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2837164,20DC,22G0,"DA VS,BISUMuc set, mop xung quanh, mop da",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-03-2,VNCMT,VNTTS,VNTTS,9/2/2024 6:36,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2834817,20DC,22G0,"CHUA VSINHMuc gi set,mxq va da,",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-03-03-2,VNDAN,VNTTS,VNTTS,9/2/2024 6:36,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2830447,20DC,22G0,"Muc gi set ,mop xung quanh va da, cong thanh rach ron, troc nut san",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-07-02-2,VNDAN,VNTTS,VNTTS,14/01/2024 22:01:53,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,VNLU3091748,20DC,22G0,"Muc gi set ,mop xung quanh va da, cong thanh rach ron, troc nut san",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-11-05-1,VNDAN,VNTTS,VNTTS,14/01/2024 22:17:03,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2823155,20DC,22G0,"Muc gi set ,mop xung quanh va da, cong thanh rach ron, troc nut san",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-07-03-1,VNDAN,VNTTS,VNTTS,14/01/2024 22:27:27,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2835942,20DC,22G0,"Muc gi set ,mop xung quanh va da, cong thanh rach ron, troc nut san",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-07-03-2,VNQNN,VNTTS,VNTTS,14/01/2024 22:32:27,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2826067,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-07-03-3,VNDAN,VNTTS,VNTTS,14/01/2024 22:33:20,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2837919,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-07-02-1,VNDAN,VNTTS,VNTTS,14/01/2024 22:40:28,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,VNLU3092549,20DC,22G0,"Muc gi set ,mop xung quanh va da, cong thanh rach ron, troc nut san",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,MR,VNDAN,VNTTS,VNTTS,14/01/2024 22:40:34,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2835222,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-41-01-1,VNDAN,VNTTS,VNTTS,14/01/2024 22:49:17,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2831280,20DC,22G0,"Muc gi set ,mop xung quanh va da, cong thanh rach ron, troc nut san",CONT THANH LY,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-41-02-3,VNDAN,VNTTS,VNTTS,14/01/2024 22:58:24,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2837903,20DC,22G0,"Muc gi set ,mop xung quanh va da, cong thanh rach ron, troc nut san",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-19-01-4,VNQNN,VNTTS,VNTTS,14/01/2024 23:05:13,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2821738,20DC,22G0,"Muc gi set ,mop xung quanh va da, cong thanh rach ron, troc nut san",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-41-01-2,VNDAN,VNTTS,VNTTS,14/01/2024 23:09:02,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2838005,20DC,22G0,"Muc gi set ,mop xung quanh va da, cong thanh rach ron, troc nut san",CONT THANH LY,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-19-03-1,VNDAN,VNTTS,VNTTS,14/01/2024 23:12:21,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,VNLU3095023,20DC,22G0,"Muc gi set ,mop xung quanh va da, cong thanh rach ron, troc nut san",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,MR,VNDAN,VNTTS,VNTTS,14/01/2024 23:13:58,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,VNLU2092380,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-19-02-1,VNDAN,VNTTS,VNTTS,14/01/2024 23:38:44,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,VNLU3092282,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-19-02-2,VNDAN,VNTTS,VNTTS,14/01/2024 23:38:59,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
